renters,description
Sarana Agung Safety,Kotak P3k/first aid box onemed Kotak P3K Dinding Onemed cocok untuk dipersiapkan di rumah dan digunakan disaat emergency. Bahan plastik ukuran 30*11*29 Untuk isi type a mencakup: Kasa steril terbungkus :20
Toko Alat Safety Di Jakarta,"Kotak Obat P3K type A Standar tempat kerja Kotak P3K (Jenis kotak A standard), merupakan kotak P3K untuk 25 orang karyawan atau kurang. Sesuai dengan peraturan Menteri Tenaga Kerja dan Transmigrasi No. PER.15/MEN/VIII/2008, tentang Pertolongan Pertama pada Kecelakaan di tempat kerja. Ada 3 (tiga) jenis kotak P3K yaitu : Kotak P3K, Jenis A : untuk 25 orang pekerja/buruh atau kurang. Kotak P3K, Jenis B : untuk 50 orang pekerja/buruh atau kurang. Kotak P3K, Jenis C : untuk 100 orang pekerja/buruh atau kurang. Isi paket Kotak P3K, jenis A : - Kotak P3K Bahan Plastik - Kasa steril terbungkus : 20 bh - Perban (lebar 5 Cm) : 2 bh - Perban (lebar 10 Cm) : 2 bh - Plester (lebar 1,25 Cm) : 2 bh - Plester Cepat : 10 bh - Kapas (25 gram) : 1 bh - Kain segitiga/mittela : 2 bh - Gunting : 1 bh - Peniti : 4 bh - Sarung tangan sekali pakai : 2 pasang - Masker : isi 1 pcs - Pinset : 1 bh - Lampu senter : 1 pcs - Gelas untuk cuci mata : 1 bh - Kantong plastik bersih : 1 bh - obat tetes mata - Betadine (60ml) : 1 bh - Alkohol 70 % : 1 bh - Buku panduan P3K di tempat kerja : 1 bh"
4Life Safety,"Refill Handmed isi dari kit p3k handmed,isi sudah lengkap sesuai list by doctor. refill ini hanya isi tanpa tas."
DAPUR CANTIK ON-LINE,TERSEDIA HARGA GROSIR / RESELLER CHAT ME PLEASEEE Deskripsi KOTAK OBAT P3K MC11 MASPION (FIRST AID BOX MC 11) Deskripsi Kotak Obat P3K MC11 Maspion (First Aid Box MC 11) -Produk Size : 312 x 115 x 442 mm -Packing Size : 670 x 400 x 455 mm -Colour : White -Bahan : HIPS High Impact Polystyrene. Plastik jenis ini merupakan plastik gabungan polystyrene dan polybutadiene. Selamat Berbelanja di DAPUR CANTIK ON-LINE Terima Kasih
DAPUR CANTIK ON-LINE,TERSEDIA HARGA GROSIR / RESELLER CHAT ME PLEASEEE Deskripsi Kotak Obat P3K MK11 Maspion (First Aid Box MK 11) -Produk Size : 340 x 100 x 270 mm -Packing Size : 593 x 350 x 380 mm -Colour : White -Bahan : HIPS High Impact Polystyrene. Plastik jenis ini merupakan plastik gabungan polystyrene dan polybutadiene. Selamat Berbelanja di DAPUR CANTIK ON-LINE Terima Kasih
DAPUR CANTIK ON-LINE,"TERSEDIA HARGA GROSIR / RESELLER CHAT ME PLEASEEE Deskripsi First Aid Box / Kotak Tempat Obat P3K First Aid Box / Kotak Tempat Obat P3K merk MASPION Semua bagian terbuat dari bahan Plastik Dimensi Produk: P29,5 x L11 x T28 cm Dimensi Packing: P30 x L11,5 x T30 cm Hanya tersedia warna Putih. Selamat Berbelanja di DAPUR CANTIK ON-LINE Terima Kasih"
Toko Alat Safety Di Jakarta,Isi Obat P3k Paket Hemat 1 ALKOHOL : 1 Pcs 2 POVIDONE : 1 Pcs 3 HANSAPLAS : 5 Pcs 4 Perban 5 Cm : 1 pcs 5 Kapas 25 g : 1 pcs 6 Kasa Steril : 1 box Isi = 10 pcs 7 Gunting Lipat : 1 pcs Belum Termasuk Kotak Biasakan baca deskripsi sebelum order agar tidak terjadi komplain terimkasih Stok Selalu Ready ya kak
LapakSpuit,"OneMed First Aid Kit Bag Red Set OneMed First Aid Kit Bag Red Set adalah tas P3K warna merah model dompet dengan tulisan putih, bahan kain, dengan sebuah sekat di satu sisinya. Praktis dan mudah dibawa kemana2.Bawa selalu di perjalanan dan kendaraan Anda, P3K set ini siap menolong Anda saat kecelakaan. Kelengkapan - Steril Pads (Kasa Steril) 5x5 cm 8 ply - One Swabs (Kapas Alkohol) - Verban 5cm - Dermafix T 5x7 cm (plester+pad non woven transparant) - Plesterin Bulat (plester+pad non woven diameter 2.2 cm) - Plesterin Anti Air (plester+pad non woven transparant) - Ecodine 10 ml (Obat luka) - Ultrafix 2.5cm x 1m (plester roll non woven) - Gunting"
Onemed Malang,"Kotak P3K untuk dinding bahan plastik mika tebal, jendela kaca transparan lebar, dengan 4 ruang di dalamnya Ukuran (pxlxt)=32x12x44cm satuan: bh NOMOR IZIN EDAR: FR.03.02/VA/0276/2018 Untuk pengajuan komplain wajib menyertakan video unboxing paket. Kami akan mengirimkan produk dengan kemasan terbaru dan dikemas menggunakan Box Onemed. Semua produk yang telah dibeli tidak dapat di retur, karena resiko kemasan rusak akibat kesalahan kurir pada saat pengiriman paket. Pastikan produk yang dipesan sudah benar dan sesuai pada saat transaksi. Untuk pengajuan komplain wajib menyertakan video unboxing paket."
Tanata Home Living,"""TANATA  Temukan Keindahan Hidup dari Ruman yang Nyaman✨ • • • DAICHI Penyimpanan Pertolongan Praktis Ukuran : 32.5 x 23 x 19.3cm Bahan : PP + PS Warna : 1. Krem 2. Putih - Serbaguna dan fungsional, bisa digunakan untuk obat-obatan dan P3K, peralatan buku dan alat tulis, perhiasan dan makeup, dan penyimpanan lainnya. - Bahan tebal dan berkapasitas besar bersekat. - Tersedia pegangan sehingga mudah untuk dibawa dan dipindahkan. - Pengunci tutup kuat dan adanya sekat untuk bagian tengah wadah. - Membantu dalam menyusun barang agar lebih tertata rapih dalam satu box sehingga mudah saat diperlukan/dicari kembali. • • • Penting untuk VIDEO UNBOXING paket untuk kamu komplain jika adanya kerusakan saat diterima. Pastikan produk yang divideokan jelas terekam agar mempermudah TANATA proses komplain kamu. Selamat belanja! 😊✨"""
Sarana Agung Safety,"ONEMED P3K dengan Tas/Pouch merah bahan kain, dengan sebuah sekat di satu sisinya. Praktis dan mudah dibawa kemana2. Bawa selalu di perjalanan dan kendaraan Anda. Kotak P3K merk OneMed sudah lengkap dengan isinya. Isi: - Steril Pads (Kasa Steril) 5x5 cm 8 ply - One Swabs (Kapas Alkohol) - Verban 5cm - Dermafix T 5x7 cm (plester+pad non woven transparant) - Plesterin Bulat (plester+pad non woven diameter 2.2 cm) - Plesterin Anti Air (plester+pad non woven transparant) - Ecodine 10 ml (Obat luka) - Ultrafix 2.5cm x 1m (plester roll non woven) - Gunting Ukuran : 15cm x 11cm Sedia selalu P3K untuk antisipasi kecelakaan Sedia selalu pahlawan rawat luka, kotak p3k set + isi di mobil/ sepeda motor/ kendaraan pribadi juga dalam lingkungan kerja dan tempat tinggal Anda! Antisipasi kecelakaan saat perjalanan/ kegiatan Anda. Satuan: set NOMOR IZIN EDAR: FR.03.02/VA/0276/2018"
mutiaramujadika,"Kotak P3K Plastik Jinjing Terbaru Merk OneMed sudah lengkap dengan isinya. Paket Terdiri Dari: * 1 pc Plesterin Aqua amplop isi 10 * 1 pc Plesterin Elastis amplop isi 10 * 1 bh Povidone Iodine 15ml * 10 bh Alkohol Swabs * 2 roll Verban 10cm * 2 roll Verban 5cm * 1 bh gunting tumpul/tumoul * 1 pak ultrafix 2x10cm isi 8 * 2 pak kasa steril 785 * 1 roll medicrepe 4 inch * 5 bh masker karet * 4 bh Glove Nitrile size M * 1 bh Aseptic gel 50ml * 1 bh kotak obat * 1 bh Kotak P3K Sedia selalu P3K untuk antisipasi kecelakaan Sedia selalu pahlawan rawat luka, kotak p3k set + isi di mobil/ sepeda motor/ kendaraan pribadi juga dalam lingkungan kerja dan tempat tinggal Anda! Antisipasi kecelakaan saat perjalanan/ kegiatan Anda."
mutiaramujadika,"Kotak P3K Plastik Terbaru sudah lengkap dengan isinya. Paket Terdiri Dari: * Verban 5 cm * Verban 4 cm * Silet * Seinodine * Plester * Penitipan * Kapas * Rivanol 100ml * Kasa Steril * Alkohol Swab * Kotak P3K Sedia selalu P3K untuk antisipasi kecelakaan Sedia selalu pahlawan rawat luka, kotak p3k set + isi di mobil/ sepeda motor/ kendaraan pribadi juga dalam lingkungan kerja dan tempat tinggal Anda! Antisipasi kecelakaan saat perjalanan/ kegiatan Anda"
Toko Alat Safety Di Jakarta,Kotak Obat P3k Mc 11+ Isi Paket Obat Hemat Type A 1 -RIVANOL: 1pcs -ALKOHOL:1pcs -MINYAK KAYU PUTIH:1pcs -HANSAPLAST:5pcs -PERBAN 10cm:1 pcs -KAPAS 25 gram:1 pcs -GUNTING Lipat : 1 pcs -Povidone/obat luka : 1 pcs -KASSA Steril:1 box /isi 10 pcs
Charlottie Medika,"Obat P3K + Isi Lengkap / Kotak p3k dinding lengkap KOTAK P3K + ISI model : bisa di gantung di dinding/ diletakkan diatas rak rumah anda, bisa juga untuk diletakkna dlm mobil buat di UKS sekolah juga bisa lhoo ukuran : 30 x 11 x 29cm sudah termasuk isi didalmya, mencakup : -RIVANOL -ALKOHOL -MINYAK KAYU PUTIH -HANSAPLAST -PERBAN -KAPAS -GUNTING -BETADINE -KASSA"
Toko Alat Safety Di Jakarta,"Kotak Obat P3K type A Standar tempat kerja Kotak P3K (Jenis kotak A standard), merupakan kotak P3K untuk 25 orang karyawan atau kurang. Sesuai dengan peraturan Menteri Tenaga Kerja dan Transmigrasi No. PER.15/MEN/VIII/2008, tentang Pertolongan Pertama pada Kecelakaan di tempat kerja. Ada 3 (tiga) jenis kotak P3K yaitu : Kotak P3K, Jenis A : untuk 25 orang pekerja/buruh atau kurang. Kotak P3K, Jenis B : untuk 50 orang pekerja/buruh atau kurang. Kotak P3K, Jenis C : untuk 100 orang pekerja/buruh atau kurang. Isi paket Kotak P3K, jenis A : - Kotak P3K Bahan Plastik - Kasa steril terbungkus : 20 bh - Perban (lebar 5 Cm) : 2 bh - Perban (lebar 10 Cm) : 2 bh - Plester (lebar 1,25 Cm) : 2 bh - wa kosong delapan lima delapan 4181                   lima tiga sembilan lima - Plester Cepat : 10 bh - Kapas (25 gram) : 1 bh - Kain segitiga/mittela : 2 bh - Gunting : 1 bh - Peniti : 4 bh - Sarung tangan sekali pakai : 2 pasang - Masker : isi 1 pcs - Pinset : 1 bh - Lampu senter : 1 pcs - Gelas untuk cuci mata : 1 bh - Kantong plastik bersih : 1 bh - obat tetes mata - Betadine (60ml) : 1 bh - Alkohol 70 % : 1 bh - Buku panduan P3K di tempat kerja : 1 bh"
Acrylicworks Store,"Kotak Obat P3K Acrylic/Akrilik Mini Hospital Edition Kotak Obat Bahan Akrilik Spesifikasi: Bahan Acrylic Warna sesuai varian (Merah / Putih) Diaplikasi pada dinding atau diaplikasi pedestal (dimeja) Ukuran Rak: Panjang 60 cm Tinggi 40 cm dan Ketebalan 11,5 cm Acrylic 3 mm  Terdapat Sekat2 ruangan dalam rak (lihat gambar) dan pintu acrylic sleeding, buka kanan kiri bergantian Berguna untuk penyimpanan obat P3K dirumah maupun dikantor *obat dalam gambar hanya ilustrasi, tidak termasuk dalam item penjualan - Barang Selalu Ready - Packing Aman Sampai Tujuan - Barang Sesuai Foto Produk, Dijamin Kualitas Bagus Tampilan Menarik Silahkan Diorder Stok selalu tersedia Terimakasih Pintu Sleeding Mirip Etalase, Tidak perlu angkat-angkat pintu cukup geser bergantian kanan dan kiri Kondisi Terangkai Siap Pakai  Tersedia Model Lainnya, Silakan Kunjungi Link Berikut: Ukuran Custom WA di 085326566396 Untuk diskusi"
Toko Alat Safety Di Jakarta,Kotak obat p3k+isi type A lengkap termurah MC 15 kotak lebih besar kapasitasnya bisa buat dipakai type a b dan c harga diatas adalah isi lengkp type a dengan kotak terbaru mk 15 info detail isi bisa wa o85658869418
Global Sinar Medika,Kotak P3K Plus Isi Type A Isi Sesuai List Silahkan Order
Global Sinar Medika,"Obat P3K + Isi Lengkap / Kotak p3k dinding lengkap KOTAK P3K + ISI model : bisa di gantung di dinding/ diletakkan diatas rak rumah anda, bisa juga untuk diletakkna dlm mobil buat di UKS sekolah juga bisa lhoo ukuran : 30 x 11 x 29cm sudah termasuk isi didalmya, mencakup : -RIVANOL -ALKOHOL -MINYAK KAYU PUTIH -HANSAPLAST -PERBAN -KAPAS -GUNTING -BETADINE -KASSA"
Global Sinar Medika,"Spesifikasi : -Kotak Obat/Medical Kit sudah berisi kapas, peniti, obat merah, salep. -Cocok untuk dirumah, Pramuka dan siswa pecinta alam dan pertolongan lainnya DIMENSI KOTAK OBAT : 22 x 11 x 5 Cm"
Pusat Safety,"Diharapkan untuk membaca deskripsi produk dengan teliti terlebih dahulu sebelum membeli, supaya tidak terjadi kesalahan dalam bertransaksi di toko kami. kotak p3k first aid box sedang mk11 bahan : plastik warna : putih tutup : transparan cara pasang : digantung di dinding ukuran sedang (290 x 115 x 350 mm) berat : 4kg variasi tipe : - kotak p3k mk11 + isi tipe a - kotak p3k mk11 + isi tipe b - kotak p3k mk11 + isi tipe c - kotak p3k mk11 + isi standar -------------------------------------- ketentuan retur barang: 1. membawa nota pembelian. 2. barang dicek terlebih dahulu oleh pihak kami. 3. barang belum dipakai untuk kegiatan apapun (tidak boleh rusak/ dicuci/ dipakai). 4. produk dapat ditukar maksimal 3 hari setelah barang diterima. 5. tidak dapat pengembalian uang (Jika ingin tukar barang dengan penambahan uang bisa, kalau pengembalian tidak bisa). 6. untuk retur barang dengan pengiriman ongkos kirim pulang pergiditanggung pembeli. 7. barang dikirim terlebih dahulu ke tempat kami. 8. pengiriman hanya bisa melalui ekspedisi J&T (bayar ditempat) untuk pengiriman dari toko kami ke alamat penerima. 9. untuk produk sepatu merk kings by honeywell, cheetah, krushers, track , jogger tidak dapat melakukan retur barang. #kotakp3k #firstaidbox #boxp3k #boksp3k #kotakmedis #kotakobat #boksmedis #boxmedis #boksobat #boxobat #pusatsafety"
Toko Alat Safety Di Jakarta,"Isi Obat Kotak P3k Dinding Type A Kapasitas 25 orang Isi obat type A Note Customer belom termasuk kotak WA : 0858-4181-5395 - Tanyakan ketersediaan stok melalui diskusi produk - Pastikan produk yang dibeli sudah benar, tidak bisa tukar / kembalikan - Wajib baca Catatan Smart Buyer dan Syarat Kondisi Jual Isi Kotak Obat P3k Dinding Type A"
aptsehatifarma,"KOTAK OBAT STANDART UNTUK AUDIT K3/PERMENAKER Tipe AKecelakaan bisa terjadi di mana saja sehingga peran P3K sangat dibutuhkan , berikan pertolongan pertama tersebut dengan benar.Kotak P3K ini sangat cocok untuk diaplikasikan di Rumah, sekolah, kantor, pabrik, dll sesuai kebutuhan.Varian Kotak ini dilengkapi kunci dan pengait dinding sehingga sangat mudah,nyamanPrinsip melakukan pertolongan pertama pada kecelakaan harus bersikap tenang, tidak panik dan berikan pertolongan dengan cara cepat dan tepat.Tips Mengisi Kotak P3KLetakkan di lokasi yang mudah dijangkau, hindari tempat yang lembab seperti kamar mandiPastikan Anda bisa menggunakan peralatan yang ada di kotak P3K.Cek secara berkala isi kotak P3K dan pastikan obat belum kadaluarsaModel KOTAK:1.Kotak Kayu Putih2.Kotak Mika Maspion MC-11 3.Kotak Mika MK-11Isi yang tertera pada kotak p3k yaitu : Kasa Steril TerbungkusPerban (lebar 5 cm)Perban (lebar 10 cm)Plester (lebar 1,25 cm)Plester CepatKapas 25 grKain Segitiga MetellaGuntingPenitiSarung Tangan Sekali Pakai (Pasangan)MaskerPinsetLampu SenterGelas Untuk Cuci MataKantong Plastik BersihAquadesPovido LodinAlkohol 70%Buku Panduan P3KDaftar Isi Kotak-Ilustrasi produk seperti pada gambar( jika ada item kosong akan diganti barang sejenis dengan fungsi sama)-untuk kebutuhan perusahaan / jumlah masal silakan chat CS kami"
Toko Alat Safety Di Jakarta,"isi kotak obat p3k type A  Isi P3k Type A Memiliki kapasitas 25 orang belum termasuk kotak Isi Obat Lengkap Type A / Isi Kotak P3K Dinding Tipe A First Aids isi-kotak-obat-p3k-type-a Isi Obat Lengkap Type A / Isi Kotak P3K Dinding Tipe A First Aids Isi Obat Lengkap Type A / Isi Kotak P3K Dinding Tipe A First Aids Isi obat type A (25 Orang) perhatian jika sudah dibeli barang tidak bisa ditukar/dikembalikan Isi paket Kotak P3K, jenis A : - Kasa steril terbungkus : 20 bh - Perban (lebar 5 Cm) : 2 bh - Perban (lebar 10 Cm) : 2 bh - Plester (lebar 1,25 Cm) : 2 bh - Plester Cepat : 10 bh - Kapas (25 gram) : 1 bh - Kain segitiga/mittela : 2 bh - Gunting : 1 bh - Peniti : 4 bh - Sarung tangan sekali pakai : 2 pasang - Masker : isi 1 pcs - Pinset : 1 bh - Lampu senter : 1 pcs - Gelas untuk cuci mata : 1 bh - Kantong plastik bersih : 1 bh - obat tetes mata - Betadine (60ml) : 1 bh - Alkohol 70 % : 1 bh - Buku panduan P3K di tempat kerja : 1 bh"
Tulip Interior sby,"Keunggulan  : - Bahan tebal dan berkapasitas besar. - Memiliki banyak sekat, sehingga dapat memasukan berbagai jenis obat-obatan dan P3K sesuai kegunaan dan ukurannya. - Tersedia pegangan dibagian tutup sehingga mudah untuk dibawa dan dipindahkan. - Pengunci tutup kuat dibagian kanan dan kiri. - Membantu dalam menyusun obat-obatan agar lebih tertata rapi dalam satu box sehingga mudah saat diperlukan/dicari kembali. - Ukuran pas untuk disimpan dalam lemari/rak/laci. Ukuran : medium  (29.1x21.4x18.2 cm) Bahan : Plastik tebal Warna : Putih  dan Merah PENTING !!! Diwajibkan untuk Customer menambahkan Extra Packing Bubble Wrap untuk meminimalisir kerusakan produk saat pengiriman, Jika tidak menambahkan maka bukan tanggung jawab toko jika terjadi kerusakan  Ketentuan Order  - Mohon cek stok dulu via chat sebelum order barang yang ada di etalase - Pengiriman dari Surabaya - Pengemasan 1 Hari, Kecuali Moment / Event Maximal 2 Hari, Pesanan sebelum jam 2 siang ikut pada hari itu juga, dan tergantung dari banyaknya pesanan masuk perhari - Pesanan di Proses Sesuai Urutan Masuk - Return Barang Salah / Kurang 2x24 Jam beserta Foto & Video Unboxing INFORMASI PENGIRIMAN  1. Gratis Ongkir (PP) 100% Jika ada kendala yang terjadi pada pesanan akibat kesalahan dari seller (WAJIB VIDEO UNBOXING). 2. Pengiriman maksimal H+1 jika terjadi overload pesanan, jika lebih dari 2x24 jam bisa chat admin.  3. Untuk pengiriman CARGO akan lebih lama datang, maka dari itu mohon bijak dan mengikuti prosedur yang telah disediakan oleh pihak jasa ekspedisi.  4. Jika terjadi kendala pada proses pengiriman, kami pasti semaksimal mungkin membantu anda untuk proses pelacakan. Namun perlu diingat, kami bukan jasa pengiriman maka dari itu perlu waktu untuk mendapat informasi dari jasa pengiriman atas pesanan anda.  5. Membeli = Setuju (Mohon untuk memberi rating pesanan terbaik) BELANJA SEKARANG JUGA SEBELUM KEHABISAN!!! HAPPY SHOPPING #KotakP3K #KotakObat #KotakSerbaguna #MedicineBoxOrganizer #First Aid Box"
Attaufiq Medika,Kotak P3K Plus Isi Type A Isi Sesuai List Silahkan Order
Attaufiq Medika,"Obat P3K + Isi Lengkap / Kotak p3k dinding lengkap KOTAK P3K + ISI model : bisa di gantung di dinding/ diletakkan diatas rak rumah anda, bisa juga untuk diletakkna dlm mobil buat di UKS sekolah juga bisa lhoo ukuran : 30 x 11 x 29cm sudah termasuk isi didalmya, mencakup : -RIVANOL -ALKOHOL -MINYAK KAYU PUTIH -HANSAPLAST -PERBAN -KAPAS -GUNTING -BETADINE -KASSA"
Attaufiq Medika,Battery M 5070 A untuk AED philips FRX atau Philips HS1
Toko Alat Safety Di Jakarta,"Kotak Obat P3K type A Standar tempat kerja Kotak P3K (Jenis kotak A standard), merupakan kotak P3K untuk 25 orang karyawan atau kurang. Sesuai dengan peraturan Menteri Tenaga Kerja dan Transmigrasi No. PER.15/MEN/VIII/2008, tentang Pertolongan Pertama pada Kecelakaan di tempat kerja. Ada 3 (tiga) jenis kotak P3K yaitu : Kotak P3K, Jenis A : untuk 25 orang pekerja/buruh atau kurang. Kotak P3K, Jenis B : untuk 50 orang pekerja/buruh atau kurang. Kotak P3K, Jenis C : untuk 100 orang pekerja/buruh atau kurang. Isi paket Kotak P3K, jenis A : - Kotak P3K Bahan Plastik - Kasa steril terbungkus : 20 bh - Perban (lebar 5 Cm) : 2 bh - Perban (lebar 10 Cm) : 2 bh - Plester (lebar 1,25 Cm) : 2 bh - Plester Cepat : 10 bh - Kapas (25 gram) : 1 bh - Kain segitiga/mittela : 2 bh - Gunting : 1 bh - Wa kosong delapan lima depan  - Empat satu delapan satu - lima tiga sembilan lima - Peniti : 4 bh - Sarung tangan sekali pakai : 2 pasang - Masker : isi 1 pcs - Pinset : 1 bh - Lampu senter : 1 pcs - Gelas untuk cuci mata : 1 bh - Kantong plastik bersih : 1 bh - obat tetes mata - Betadine (60ml) : 1 bh - Alkohol 70 % : 1 bh - Buku panduan P3K di tempat kerja : 1 bh - Decolgen 1 tablet  - Panadol 1 tabet  - Entro stop 1 tablet - Balsem 1 pcs - Mylanta 1 tablet - vicee/vitamin c 10 pcs - tolak angin 1 box - Minyak kayu putih 1 pcs"
Sumber lestari,"SEPAKET Kotak P3K Lengkap Beserta Isinya. Ukuran Tas 24 x 14 Daftar isi dalam tas: 1. Rivanol 100 ml 1 btl 2. Betadine 15 ml 1 btl 3. Minyak kayu putih 1 btl 4. Plaster roll 2 roll 5. Plaster cepat 1 pack (10 lbr)  6. Gunting stainless 1 pc 7. Verban roll 5 & 10 cm @ 1 roll 8. Pincet 1 pc 9. Kasa steril 10 lbr 10. Alcohol swab 5 lbr 11. Thermometer 1 pc 12. Senter 1 pc 13. Kapas Sediakan P3K di rumah, antisipasi untuk pertolongan pertama, apalagi yang punya anak kecil, wajib punya banget. Menyiapkan kotak P3K (pertolongan pertama pada kecelakaan) di mobil juga adalah wajib hukumnya. Hal ini termaktub jelas dalam Undang-Undang No 22 tahun 2009 dan berkaitan dengan tata cara berlalu-lintas di jalan. Cocok juga buat kamu yang berjiwa petualang, traveler dan pendaki gunung; wajib punya banget. Ukurannya pas.. Harganya Murah.. Manfaatnya Selangit."
DISTRIBUTORSAFETYJAKARTA,"Daftar isi kotak obat p3k tipe A : 1.kasa steril : 20 2.verban gulung 5cm : 2 3.verban gulung 10cm :2  4.plester rol 1,25cm : 2 5.plaster cepat (dengan pad):10 6.kapas 25gram :1 7.mitella : 2 8.gunting :1 9.peniti :12 10.sarung tangan sekali pakai : 2 11.(pasangan) : 2 12.masker : 1 13.pinset : 1 14.lampu senter / penlight : 1 15.gelas cuci mata : 1 16.kantong plastik : 1 17.aquades 100ml : 1 18.povidon lodine 60ml : 1 19.alkohol 70% 100ml : 1 20.bulu panduan daftar isi : 1 21.buku panduan daftar isi : 1 silahkan diorder gan harga menentukan kualitas  Note : barang yang sudah dibeli tidak bisa ditukar atau dikembalikan lagi  Temukan promo'' menarik dan dapatkan diskon serbu lainnya  Untuk lebih jelasnta bisa datang berkunjung langsung ke toko kami yang berada digedung ltc glodok lt gf2 blok a26 no 5  happy shopping days  semoga harimu menyenangkan "
Sarana Agung Safety,"Obat P3K + Isi Lengkap / Kotak p3k dinding lengkap KOTAK P3K + ISI model : bisa di gantung di dinding/ diletakkan diatas rak rumah anda, bisa juga untuk diletakkna dlm mobil buat di UKS sekolah juga bisa lhoo ukuran : 30 x 11 x 29cm sudah termasuk isi didalmya, mencakup : -RIVANOL -ALKOHOL -MINYAK KAYU PUTIH -HANSAPLAST -PERBAN -KAPAS -GUNTING -BETADINE -KASSA"
perlengkapan safety19,"kotak obat p3k mk11 lengkap isi type A Kotak Obat P3K type A Standar tempat kerja Ada 3 (tiga) jenis kotak P3K yaitu : Kotak P3K,  Jenis A : untuk 25 orang pekerja/buruh atau kurang. Kotak P3K,  Jenis B : untuk 50 orang pekerja/buruh atau kurang. Kotak P3K,  Jenis C : untuk 100 orang pekerja/buruh atau kurang. Isi paket Kotak P3K,  jenis A :  - Kotak P3K Bahan Plastik  - Kasa steril terbungkus : 20 bh  - Perban (lebar 5 Cm) : 2 bh  - Perban (bar 10 Cm) : 2 bh  - Plester (lebar 1,25 Cm) : 2 bh  - wa kosong delapan lima delapan 4181 lima tiga sembilan lima  - Plester Cepat : 10 bh  - Kapas (25 gram) : 1 bh  - Kain segitiga/mittela : 2 bh  - Gunting : 1 bh  - Peniti : 4 bh  - Sarung tangan sekali pakai : 2 pasang - Masker : isi 1 pcs  - Pinset : 1 bh  - Lampu senter : 1 pcs  - Gelas untuk cuci mata : 1 bh  - Kantong plastik bersih : 1 bh  - obat tetes mata - Betadine (60ml): 1 bh - Alkohol 70% : 1 bh  - Buku panduan P3K di tempat kerja : 1 bh"
Star Alkes Medika,"PENTING !!! Sedia selalu P3K untuk antisipasi kecelakaan Sedia selalu pahlawan rawat luka, kotak p3k set + isi di mobil/ sepeda motor/ kendaraan pribadi juga dalam lingkungan kerja dan tempat tinggal Anda! Antisipasi kecelakaan saat perjalanan/ kegiatan Anda. Size pxlxt: 22x11x6 cm - Untuk pengajuan komplain wajib menyertakan video unboxing paket. - Kami akan mengirimkan produk dengan kemasan terbaru dan dikemas dengan aman. - Semua produk yang telah dibeli tidak dapat di retur, karena sebelum dikirim barang sudah kami pastikan dalam keadaan baik, jika terjadi kerusakan selama pengiriman oleh kurir, tidak menjadi tanggungjawab For Alkes. - Pastikan produk yang dipesan sudah benar dan sesuai pada saat transaksi. --------------------------------------------------------------------------------------------------------------------------------------------- **TERIMA KASIH TELAH BERBELANJA DI STAR ALKES, SEMOGA KAMI SELALU BISA MEMBERIKAN PELAYANAN TERBAIK**"
Star Alkes Medika,"KOTAK P3K BAHAN DARI KAYU - Finishing Vernis clear - Pintu dengan pengunci dan jendela kaca transparan - Dilengkapi sekat ada 4 ruang untuk meletakkan alat dan bahan p3k - Untuk pengajuan komplain wajib menyertakan video unboxing paket. - Kami akan mengirimkan produk dengan kemasan terbaru dan dikemas dengan aman. - Semua produk yang telah dibeli tidak dapat di retur, karena sebelum dikirim barang sudah kami pastikan dalam keadaan baik, jika terjadi kerusakan selama pengiriman oleh kurir, tidak menjadi tanggungjawab Star Alkes. - Pastikan produk yang dipesan sudah benar dan sesuai pada saat transaksi. --------------------------------------------------------------------------------------------------------------------------------------------- **TERIMA KASIH TELAH BERBELANJA DI STAR ALKES, SEMOGA KAMI SELALU BISA MEMBERIKAN PELAYANAN TERBAIK**"
Star Alkes Medika,"ONEMED STETOSKOP STANDART merupakan stetoskop berkualitas yang memberikan kemampuan maksimal untuk Anda. Harganya yang ekonomis tapi memiliki respons akustik yang jelas dan desain menarik. Desain ONEMED Stetoskop Standard ini kecil dan ringan sehingga mudah untuk dibawa bepergian. Alat medis untuk mendengarkan suara jantung dan paru pada pasien Dewasa. Spesifikasi: Merk : OneMed Type: Dual Head Ear Tipe: plug (kaku) Bahan Metal tube: Aluminium Bahan Y Tube: Plastik Warna: Red, Black, Grey, Green, Purple Silahkan tuliskan warna yang diinginkan minimal 2 warna dicatatan,jika tidak ada keterangan warna kami akan kirimkna random sesuai stok yang tersedia **TERIMA KASIH ATAS KEPERCAYAAN ANDA TELAH BERBELANJA DI STAR ALKES, SEMOGA KAMI SELALU BISA MEMBERIKAN PELAYANAN TERBAIK**"
